,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
834,P-D Glasseiden GmbH Oschatz - Oschatz,DED53,-1,POINT (13.097734 51.316871),Glass,Glass Fibre,,20.95289855,100,glass-fibre,165924.11785658053,0,0,0,0,0,0,921.9275362,0,0,0,0,0,Glass,167914.64321883055,1068.5978260499999
835,Noelle + von Campe GmbH & Co. KG - Boffzen,DE926,-1,POINT (9.398494 51.750904),Glass,Container,,220.8312502,100,glass-container,1125558.7741068834,0,0,0,0,0,0,9716.5750088,0,0,0,0,0,Glass,1138852.8153689234,3577.46625324
836,Glasfabrik Lamberts GmbH & Co. KG - Wunsiedel,DE24D,-1,POINT (12.037684 50.050258),Glass,Flat,,37.65766208,100,glass-float,204673.30980165632,0,0,0,0,0,0,1656.9371315199999,0,0,0,0,0,Glass,207881.74261087232,1551.4956776959998
837,SAINT-GOBAIN GLASS Deutschland GmbH - Herzogenrath,DEA2D,-1,POINT (6.092867 50.876272),Glass,Flat,,147.9616896,100,glass-float,804187.1709917184,0,0,0,0,0,0,6510.314342399999,0,0,0,0,0,Glass,816793.5069456383,6096.021611519999
838,Flachglas Torgau GmbH - Torgau,DED53,-1,POINT (13.001174 51.575645),Glass,Flat,,222.9528487,100,glass-float,1211771.919780765,0,0,0,0,0,0,9809.9253428,0,0,0,0,0,Glass,1230767.502490005,9185.657366439998
839,SAINT-GOBAIN GLASS Deutschland GmbH - Stolberg,DEA2D,-1,POINT (6.219461 50.784667),Glass,Flat,,223.021611,100,glass-float,1212145.650032544,0,0,0,0,0,0,9812.950884,0,0,0,0,0,Glass,1231147.091289744,9188.490373199998
840,SAINT-GOBAIN GLASS Deutschland GmbH - Mannheim,DE126,-1,POINT (8.47699 49.51775),Glass,Flat,,88.70579568,100,glass-float,482125.2249235507,0,0,0,0,0,0,3903.0550099199995,0,0,0,0,0,Glass,489682.95871548663,3654.6787820159993
841,SAINT-GOBAIN GLASS Deutschland GmbH - Porz,DEA23,8,POINT (7.068386 50.873363),Glass,Flat,,310.9616896,100,glass-float,1690109.1229917184,0,0,0,0,0,0,13682.314342399999,0,0,0,0,0,Glass,1716603.0589456384,12811.621611519999
842,Ardagh Glass GmbH - Bad Münder,DE923,-1,POINT (9.448132 52.190421),Glass,Container,,61.37136286,100,glass-container,312804.8040456654,0,0,0,0,0,0,2700.3399658399994,0,0,0,0,0,Glass,316499.3600898374,994.2160783319998
843,Ardagh Glass GmbH - Drebkau,DE40G,-1,POINT (14.227901 51.650261),Glass,Container,,155.2403093,100,glass-container,791247.1267967373,0,0,0,0,0,0,6830.5736092,0,0,0,0,0,Glass,800592.5934165972,2514.8930106599996
844,Ardagh Glass GmbH - Lünen,DEA5C,-1,POINT (7.513459 51.625115),Glass,Container,,177.9072093,100,glass-container,906778.4574109373,0,0,0,0,0,0,7827.9172092,0,0,0,0,0,Glass,917488.4714107973,2882.09679066
845,Ardagh Glass GmbH - Neuenhagen,DE409,-1,POINT (13.71558 52.53672),Glass,Container,,133.7132953,100,glass-container,681525.7016538853,0,0,0,0,0,0,5883.3849932,0,0,0,0,0,Glass,689575.2420309453,2166.1553838600003
846,Ardagh Glass GmbH - Wahlstedt,DEF0D,-1,POINT (10.196154 53.947844),Glass,Container,,127.6080725,100,glass-container,650407.881670555,0,0,0,0,0,0,5614.755190000001,0,0,0,0,0,Glass,658089.887635055,2067.2507745000003
847,Ardagh Glass GmbH - Nienburg,DE927,-1,POINT (9.20699 52.65439),Glass,Container,,315.4792854,100,glass-container,1607972.0483823968,0,0,0,0,0,0,13881.088557599998,0,0,0,0,0,Glass,1626963.9013634769,5110.764423479999
848,Glaswerk Ernstthal GmbH - Lauscha/OT Ernstthal,DEG0H,18,POINT (11.171841 50.49072),Glass,Container,,288.3686631,100,glass-container,1469791.4295903256,0,0,0,0,0,0,12688.221176399999,0,0,0,0,0,Glass,1487151.2231089456,4671.572342219999
849,URSA Deutschland GmbH - Delitzsch,DED53,-1,POINT (12.303699 51.509583),Glass,Glass Fibre,,57.78804348,100,glass-fibre,457618.31539420685,0,0,0,0,0,0,2542.6739131199997,0,0,0,0,0,Glass,463108.17952480685,2947.19021748
850,Zwiesel Kristallglas Aktiengesellschaft - Zwiesel,DE229,-1,POINT (13.227964 49.017541),Glass,Container,,89.61020565,100,glass-container,456735.87016118667,0,0,0,0,0,0,3942.8490486,0,0,0,0,0,Glass,462130.4045413167,1451.6853315299998
851,Verallia Deutschland AG - Essen,DEA13,-1,POINT (6.99799 51.52459),Glass,Container,,372.773556,100,glass-container,1899996.247500408,0,0,0,0,0,0,16402.036463999997,0,0,0,0,0,Glass,1922437.215571608,6038.931607199999
852,Verallia Deutschland AG - Wirges,DEB1B,-1,POINT (7.781866 50.470005),Glass,Container,,228.0005333,100,glass-container,1162100.0221863694,0,0,0,0,0,0,10032.0234652,0,0,0,0,0,Glass,1175825.6542910296,3693.6086394599997
853,Verallia Deutschland AG - Neuburg an der Donau,DE21I,-1,POINT (11.239979 48.737742),Glass,Container,,229.676199,100,glass-container,1170640.752854682,0,0,0,0,0,0,10105.752756,0,0,0,0,0,Glass,1184467.260034482,3720.7544238
854,Verallia Deutschland AG - Bad Wurzach,DE148,-1,POINT (9.875315 47.906354),Glass,Container,,324.43339,100,glass-container,1653610.38529202,0,0,0,0,0,0,14275.069159999997,0,0,0,0,0,Glass,1673141.27537002,5255.820917999999
855,BASF Personal Care and Nutrition GmbH - Düsseldorf,DEA11,-1,POINT (6.837586 51.176085),Glass,Container,,322.6552345,100,glass-container,1644547.2725172709,0,0,0,0,0,0,14196.830318,0,0,0,0,0,Glass,1663971.117634171,5227.0147989
856,GUARDIAN Flachglas GmbH - Bitterfeld-Wolfen,DEE05,-1,POINT (12.241531 51.652586),Glass,Flat,,215.1601179,100,glass-float,1169417.6174387615,0,0,0,0,0,0,9467.045187599999,0,0,0,0,0,Glass,1187749.2594838415,8864.596857479999
857,Pilkington Deutschland AG - Weiherhammer,DE237,-1,POINT (12.06859 49.624),Glass,Flat,,451.28389,100,glass-float,2452774.87567456,0,0,0,0,0,0,19856.491159999998,0,0,0,0,0,Glass,2491224.2631025603,18592.896267999997
858,SGD Kipfenberg GmbH - Kipfenberg,DE219,-1,POINT (11.399111 48.956018),Glass,Container,,114.1694164,100,glass-container,581912.1534986552,0,0,0,0,0,0,5023.4543216,0,0,0,0,0,Glass,588785.1523659353,1849.5445456799998
859,O-I Germany GmbH & Co. KG - Holzminden,DE926,-1,POINT (9.443863 51.807925),Glass,Container,,147.3752625,100,glass-container,751159.6281909749,0,0,0,0,0,0,6484.511549999998,0,0,0,0,0,Glass,760031.618993475,2387.4792525
860,Heinz-Glas Produktion GmbH & Co.KGaA - Tettau,DE24A,18,POINT (11.283878 50.471901),Glass,Container,,39.69686365,100,glass-container,202331.6588812307,0,0,0,0,0,0,1746.6620005999998,0,0,0,0,0,Glass,204721.4100729607,643.0891911299999
861,Pilkington Deutschland AG - Gladbeck,DEA36,-1,POINT (6.943172 51.570457),Glass,Flat,,463.8821218,100,glass-float,2521247.575723667,0,0,0,0,0,0,20410.813359199998,0,0,0,0,0,Glass,2560770.3325010273,19111.943418159997
862,Stölzle Lausitz GmbH - Weißwasser,DED2D,-1,POINT (14.635657 51.505062),Glass,Container,,61.55967737,100,glass-container,313764.62766134564,0,0,0,0,0,0,2708.62580428,0,0,0,0,0,Glass,317470.52023901965,997.266773394
863,SP Spezialglas Piesau GmbH - Neuhaus am Rennweg - Piesau,DEG0I,18,POINT (11.213295 50.510538),Glass,Container,,69.11308869,100,glass-container,352263.7457796574,0,0,0,0,0,0,3040.9759023599995,0,0,0,0,0,Glass,356424.3537187954,1119.632036778
864,SP Spezialglas Piesau GmbH - Piesau,DEG0I,18,POINT (11.213295 50.510538),Glass,Container,,0,100,glass-container,0,0,0,0,0,0,0,0,0,0,0,0,0,Glass,0,0
865,Gerresheimer Lohr GmbH - Lohr am Main,DE26A,-1,POINT (9.579068 49.984418),Glass,Container,,202.2172783,100,glass-container,1030684.8856782794,0,0,0,0,0,0,8897.560245199998,0,0,0,0,0,Glass,1042858.3658319394,3275.9199084599995
866,Gerresheimer Essen GmbH - Essen,DEA13,-1,POINT (7.08808 51.439179),Glass,Container,,168.2031797,100,glass-container,857317.8142701645,0,0,0,0,0,0,7400.939906799999,0,0,0,0,0,Glass,867443.6456881046,2724.8915111399997
867,Gerresheimer Tettau GmbH - Tettau,DE24A,18,POINT (11.265076 50.457675),Glass,Container,,151.43319,100,glass-container,771842.5519084199,0,0,0,0,0,0,6663.0603599999995,0,0,0,0,0,Glass,780958.8299464199,2453.2176779999995
