,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
952,VERALLIA FRANCE - CUFFIES,FRE21,-1,POINT (3.329529 49.398002),Glass,Container,,164.1627504,100,glass-container,175877.40426854402,0,0,0,0,0,0,7223.161017599999,0,0,0,776475.034744464,0,Glass,1015062.609665808,55487.009635200004
953,Arc France - Arques,FRE12,-1,POINT (2.301345 50.730544),Glass,Container,,851.249875,100,glass-container,911995.06608,0,0,0,0,0,0,37454.9945,0,0,0,4026335.2962612505,0,Glass,5263507.81459125,287722.45775
954,AGC GLASS FRANCE - Boussois,FRE11,-1,POINT (4.027837 50.285797),Glass,Flat,,376.8511788,100,glass-float,301179.46209696005,0,0,0,0,0,0,16581.451867199998,0,0,0,2046588.3077798884,0,Glass,2547875.7458196483,183526.52407559997
955,OI FRANCE SAS - Wingles,FRE12,-1,POINT (2.870125 50.494418),Glass,Container,,119.6871979,100,glass-container,128228.07634214402,0,0,0,0,0,0,5266.2367076,0,0,0,566109.6742191891,0,Glass,740058.2601591331,40454.2728902
956,ΒΑ ΥΑΛΟΥΡΓΙΑ ΕΛΛΑΔΟΣ Α.Ε. - ΑΘΗΝΑ,EL302,-1,POINT (23.67009 37.983372),Glass,Container,,159.8740126,100,glass-container,171282.62213913602,0,0,0,0,0,0,7034.4565544,0,0,0,756189.690936866,0,Glass,988544.1858892019,54037.4162588
957,Vetropack Straža tvornica stakla d.d. - Hum na Sutli,HR064,-1,POINT (15.705912 46.22116),Glass,Container,,356.2310436,100,glass-container,381651.69087129604,0,0,0,0,0,0,15674.1659184,0,0,0,1684940.775434076,0,Glass,2202672.724960572,120406.09273680003
958,O-I Hungary Kft. - Orosháza,HU332,-1,POINT (20.686949 46.577393),Glass,Container,,191.4216912,100,glass-container,205081.54308403202,0,0,0,0,0,0,8422.5544128,0,0,0,905407.371423792,0,Glass,1183612.000546224,64700.53162560001
959,Guardian Orosháza Kft. - Orosháza,HU332,-1,POINT (20.690614 46.583355),Glass,Flat,,223.5604126,100,glass-float,178669.48174992,0,0,0,0,0,0,9836.6581544,0,0,0,1214102.946331576,0,Glass,1511483.007172096,108873.9209362
960,O-I Italy S.p.A. - Origgio (VARESE),ITC41,-1,POINT (9.006089 45.598076),Glass,Container,,164.1160884,100,glass-container,175827.412468224,0,0,0,0,0,0,7221.107889599999,0,0,0,776254.327684044,0,Glass,1014774.0859210681,55471.2378792
961,BORMIOLI LUIGI SPA - ABBIATEGRASSO,ITC4C,-1,POINT (8.951024 45.398735),Glass,Container,,62.11128887,100,glass-container,66543.5504437632,0,0,0,0,0,0,2732.8967102799998,0,0,0,293780.80633910175,0,Glass,384050.86913120496,20993.615638060004
962,OCV Italia s.r.l. a socio unico - BESANA IN BRIANZA (MB),ITC4D,-1,POINT (9.280895 45.703705),Glass,Glass Fibre,,119.3665459,100,glass-fibre,257831.73914400005,0,0,0,0,0,0,5252.1280196,0,0,0,864466.849393308,0,Glass,1203229.106657508,75678.3901006
963,VIDRALA ITALIA SRL - CORSICO,ITC4C,-1,POINT (9.092528 45.428978),Glass,Container,,216.0975569,100,glass-container,231518.27856038403,0,0,0,0,0,0,9508.2925036,0,0,0,1022121.9953568791,0,Glass,1336189.5406530632,73040.9742322
964,SISECAM FLAT GLASS ITALY SRL - SAN GIORGIO DI NOGARO (UD),ITH42,-1,POINT (13.229384 45.770898),Glass,Flat,,245.8315324,100,glass-float,196468.56069408,0,0,0,0,0,0,10816.587425599999,0,0,0,1335052.052896624,0,Glass,1662057.157295104,119719.95627879999
965,VETROBALSAMO   SPA - SESTO SAN GIOVANNI,ITC4C,-1,POINT (9.22035 45.527527),Glass,Container,,160.2506416,100,glass-container,171686.127384576,0,0,0,0,0,0,7051.028230399999,0,0,0,757971.112210256,0,Glass,990872.984686032,54164.7168608
966,Vetropack Italia S.r.l. - TREZZANO SUL NAVIGLIO,ITC4C,-1,POINT (9.080036 45.4174),Glass,Container,,177.1089558,100,glass-container,189747.450885888,0,0,0,0,0,0,7792.794055199999,0,0,0,837709.421127978,0,Glass,1095112.493129466,59862.8270604
967,Verallia Italia S.p.A. - VILLA POMA,ITC4B,-1,POINT (11.116109 45.003296),Glass,Container,,182.0859581,100,glass-container,195079.61207001604,0,0,0,0,0,0,8011.782156399999,0,0,0,861250.1940767711,0,Glass,1125886.642140987,61545.053837800006
968,VETRI SPECIALI S.p.A - TRENTO,ITH20,-1,POINT (11.097889 46.116935),Glass,Container,,63.97193614,100,glass-container,68536.97350295041,0,0,0,0,0,0,2814.7651901599997,0,0,0,302581.5004679474,0,Glass,395555.7535763778,21622.51441532
