"Section";"Class";"Power_level";"Nb_customer"
"C";"20.13";"MV";32
"C";"20.14";"LV-a";0
"C";"20.14";"LV-b";1
"C";"20.14";"MV";97
"C";"20.15";"LV-a";0
"C";"20.15";"LV-b";0
"C";"20.15";"MV";37
"C";"20.16";"LV-a";0
"C";"20.16";"LV-b";0
"C";"20.16";"MV";63
"C";"20.17";"LV-a";0
"C";"20.17";"LV-b";0
"C";"20.17";"MV";2
"C";"20.20";"LV-a";0
"C";"20.20";"LV-b";0
"C";"20.20";"MV";30
"C";"20.30";"LV-a";1
"C";"20.30";"LV-b";0
"C";"20.30";"MV";84
"C";"20.41";"LV-a";0
"C";"20.41";"LV-b";0
"C";"20.41";"MV";23
"C";"20.42";"LV-a";0
"C";"20.42";"LV-b";3
"C";"20.42";"MV";109
"C";"20.51";"LV-a";0
"C";"20.51";"LV-b";0
"C";"20.51";"MV";13
"C";"20.52";"LV-a";0
"C";"20.52";"LV-b";0
"C";"20.52";"MV";18
"C";"20.53";"LV-a";0
"C";"20.53";"LV-b";0
"C";"20.53";"MV";24
"C";"20.59";"LV-a";2
"C";"20.59";"LV-b";0
"C";"20.59";"MV";80
"C";"20.60";"LV-a";0
"C";"20.60";"LV-b";0
"C";"20.60";"MV";2
"C";"21.10";"LV-a";0
"C";"21.10";"LV-b";1
"C";"21.10";"MV";40
"C";"21.20";"LV-a";0
"C";"21.20";"LV-b";0
"C";"21.20";"MV";213
"C";"22.1";"LV-a";0
"C";"22.1";"LV-b";2
"C";"22.1";"MV";156
"C";"22.2";"LV-a";3
"C";"22.2";"LV-b";9
"C";"22.2";"MV";1195
"C";"23.11";"LV-a";1
"C";"23.11";"LV-b";0
"C";"23.11";"MV";80
"C";"23.13";"LV-a";0
"C";"23.13";"LV-b";0
"C";"23.13";"MV";47
"C";"23.19";"LV-a";2
"C";"23.19";"LV-b";0
"C";"23.19";"MV";28
"C";"23.4/23.3";"LV-a";2
"C";"23.4/23.3";"LV-b";1
"C";"23.4/23.3";"MV";50
"C";"23.5";"LV-a";0
"C";"23.5";"LV-b";0
"C";"23.5";"MV";62
"C";"23.6";"LV-a";0
"C";"23.6";"LV-b";10
"C";"23.6";"MV";323
