"Power_level";"Section";"Class";"Mean";"Sd"
"MV";"C";"16.2";47330,053074636;32897,9288082566
"MV";"C";"17.11";1027182,76782217;288867,285781752
"LV-a";"C";"17.12";1013,33118651742;1759,10016944891
"LV-b";"C";"17.12";22733,5862349557;23289,4510806592
"MV";"C";"17.12";206049,223359286;40494,5736067825
"LV-b";"C";"17.21";32324,9043921501;22656,6554361124
"MV";"C";"17.21";129513,707420345;57661,9230459039
"MV";"C";"17.22";532171,992244952;90262,4834983537
"LV-a";"C";"18.1";1440,73857900981;1424,46268849048
"LV-b";"C";"18.1";4990,25744695341;3697,60067946136
"MV";"C";"18.1";105795,404071762;40299,5480248523
"LV-b";"C";"20.11";6811,03767279766;5843,27713853422
"MV";"C";"20.11";521470,660036939;87736,7284591065
"MV";"C";"20.12";193275,795190525;60193,1394707978
"LV-a";"C";"20.13";2082,30158798006;1594,31602181667
"MV";"C";"20.13";757540,400069059;69497,2235299152
"LV-b";"C";"20.14";6526,15907783257;6502,38145947651
"MV";"C";"20.14";357249,897720021;41461,1333617238
"MV";"C";"20.15";200508,107082171;37762,8218548214
"MV";"C";"20.16";363865,923418017;103302,780660376
"MV";"C";"20.17";80454,6825182298;53022,641467857
"MV";"C";"20.20";163932,245458669;39384,2063374651
"LV-a";"C";"20.30";1999,03842131494;1111,98015052075
"MV";"C";"20.30";72969,6705440865;34153,507629431
"MV";"C";"20.41";458447,213605002;94930,2669262754
"LV-b";"C";"20.42";8442,47513809753;5508,34015883845
"MV";"C";"20.42";137043,871104775;41178,8313533086
"MV";"C";"20.51";205162,654199359;48993,1073332098
"MV";"C";"20.52";274568,072067835;75988,1718488332
"MV";"C";"20.53";129515,492344437;46009,9032137445
"LV-a";"C";"20.59";1125,54700417849;1370,8405624515
"MV";"C";"20.59";426815,209651568;38926,5597791719
"MV";"C";"20.60";1044189,77514247;386586,034799439
"LV-b";"C";"21.10";4051,27743173369;2889,61752906673
"MV";"C";"21.10";510919,315944597;66245,537773943
"MV";"C";"21.20";268311,538041117;43705,6206854045
"LV-b";"C";"22.1";3637,04313813095;4146,14943016115
"MV";"C";"22.1";194098,187734164;71376,404129362
"LV-a";"C";"22.2";1105,41330102531;1100,26485896762
"LV-b";"C";"22.2";14229,4048545309;15514,77568013
"MV";"C";"22.2";175221,232700499;65524,5088677556
"LV-a";"C";"23.11";1490,33192521664;1532,04234292707
"MV";"C";"23.11";163877,506262937;47666,4903976539
"MV";"C";"23.13";796886,12351013;38112,3477949443
"LV-a";"C";"23.19";249,017285184032;488,985092088235
"MV";"C";"23.19";468745,210718521;79476,7478515456
"LV-a";NA;"23.4/23.3";575,18374494893;547,131523253735
"LV-b";NA;"23.4/23.3";4401,13383433396;6600,98498471849
"MV";NA;"23.4/23.3";52303,0167147093;18918,0235796122
"MV";"C";"23.5";447022,086634043;72269,2274719097
"LV-b";"C";"23.6";7621,60777184776;5584,21350595764
"MV";"C";"23.6";40535,5686388894;21196,7725440667
"MV";"C";"23.9";61014,6515739973;25600,8251288099
