"Power_level";"Section";"Class";"Energy"
"LV-a";"G";"47.52";19538,4805864979
"LV-a";"G";"47.53";12030,7860543687
"LV-a";"G";"47.54";40287,6019517122
"LV-a";"G";"47.59";18365,459096256
"LV-a";"G";"47.61";7858,66006194623
"LV-a";"G";"47.62";11110,7409377427
"LV-a";"G";"47.64";21622,3282415874
"LV-a";"G";"47.71";17312,7171538091
"LV-a";"G";"47.72";9906,75402598858
"LV-a";"G";"47.73";21050,7961686928
"LV-a";"G";"47.74";11047,1074026947
"LV-a";"G";"47.75";21461,3942970641
"LV-a";"G";"47.76";13528,0677535362
"LV-a";"G";"47.77";11630,8536607294
"LV-a";"G";"47.78";15907,5653214908
"LV-a";"G";"47.79";4702,73581996366
"LV-a";"G";"47.81";10561,5664350233
"LV-a";"G";"47.82";14415,2383167571
"LV-a";"G";"47.89";1753,69242394709
"LV-a";"G";"47.91";11473,4232822147
"LV-a";"G";"47.99";10152,3241169115
"LV-a";"H";"49.10";10812,8681274836
"LV-a";"H";"49.20";3209,092639793
"LV-a";"H";"49.32";8130,261538107
"LV-a";"H";"49.39";9076,05089368708
"LV-a";"H";"49.41";9609,7590205017
"LV-a";"H";"49.42";578,52305775544
"LV-a";"H";"52.10";28601,3831597766
"LV-a";"H";"52.21";3437,85319114788
"LV-a";"H";"52.24";82263,3438991
"LV-a";"H";"52.29";18125,8157009045
"LV-a";"H";"53.10";7069,7102665203
"LV-a";"I";"55.10";25499,950621438
"LV-a";"I";"55.20";18552,0068118086
"LV-a";"I";"55.30";10460,0773967437
"LV-a";"I";"55.90";35226,484248882
"LV-a";"I";"56.10";25391,60716385
"LV-a";"I";"56.21";23396,5585372045
"LV-a";"I";"56.29";24862,5981284662
"LV-a";"I";"56.30";20162,782803027
"LV-a";"J";"58.11";4024,18917573245
"LV-a";"J";"58.13";10520,5670230195
"LV-a";"J";"58.14";5583,7348786733
"LV-a";"J";"58.29";10814,0859510775
"LV-a";"J";"59.11";17062,0873874022
"LV-a";"J";"59.12";4154,77796964356
"LV-a";"J";"60.10";115874,345539332
"LV-a";"J";"61.10";13933,577465366
"LV-a";"J";"61.20";17418,318534328
"LV-a";"J";"61.90";12300,9873049273
"LV-a";"J";"62.01";15459,7903622721
"LV-a";"J";"62.02";20503,878001304
"LV-a";"J";"62.09";6519,2973293462
"LV-a";"J";"63.11";77240,011803134
"LV-a";"J";"63.12";15036,769439665
"LV-a";"J";"63.91";10182,7719077998
"LV-a";"K";"64.19";33001,035079568
"LV-a";"K";"64.20";12216,8047031044
"LV-a";"K";"64.30";7256,1984757037
"LV-a";"K";"64.92";11066,1705417114
"LV-a";"K";"65.11";15378,6915523286
"LV-a";"K";"65.12";22168,5058512911
"LV-a";"K";"66.19";13451,9537027948
"LV-a";"K";"66.22";10702,4030236302
"LV-a";"K";"66.30";11717,7866208629
"LV-a";"L";"68.10";7582,3797427409
"LV-a";"L";"68.20";7125,539041654
"LV-a";"L";"68.31";7573,526415865
"LV-a";"L";"68.32";4551,4802104329
"LV-a";"M";"69.10";10742,0614772142
"LV-a";"M";"69.20";15013,9500663951
"LV-a";"M";"70.10";14509,6944819476
"LV-a";"M";"70.21";7887,342393736
"LV-a";"M";"70.22";9991,2882825338
"LV-a";"M";"71.11";6360,3743189973
"LV-a";"M";"71.12";16602,7526071775
"LV-a";"M";"71.20";11622,515244101
"LV-a";"M";"72.19";12467,7462993408
"LV-a";"M";"73.11";7067,2110786603
"LV-a";"M";"73.12";10603,0869560412
"LV-a";"M";"73.20";34160,881768674
"LV-a";"M";"74.10";7149,6469737186
"LV-a";"M";"74.20";10082,3418111219
"LV-a";"M";"74.30";14426,9697343129
"LV-a";"M";"74.90";6282,6142609894
"LV-a";"M";"75.00";10700,2423121401
"LV-a";"N";"77.11";20095,840111487
"LV-a";"N";"77.22";4785,86519648442
"LV-a";"N";"77.29";16537,6589752976
"LV-a";"N";"77.32";5301,4258106096
"LV-a";"N";"77.33";30425,1433173505
"LV-a";"N";"77.39";35454,581757942
"LV-a";"N";"78.10";9515,4180867284
"LV-a";"N";"78.20";15440,9894005453
"LV-a";"N";"78.30";7852,1248148491
"LV-a";"N";"79.11";9028,5574611719
"LV-a";"N";"79.12";4083,16111056635
"LV-a";"N";"79.90";1088,66260869629
"LV-a";"N";"81.10";4468,3180983035
"LV-a";"N";"81.21";7240,4721430279
"LV-a";"N";"81.22";10237,78891639
"LV-a";"N";"81.29";1794,84159079033
"LV-a";"N";"81.30";5008,4432438544
"LV-a";"N";"82.11";53547,600737307
"LV-a";"N";"82.19";11759,0996945498
"LV-a";"N";"82.20";31307,088892683
"LV-a";"N";"82.30";35725,0860669548
"LV-a";"N";"82.92";39457,1270956473
"LV-a";"N";"82.99";14519,851683137
"LV-a";"O";"84.11";9104,8500812406
