selected,configuration_id,solution_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],product_name,configuration_name,sector_name,energy_feedstock,technology_category,hydrogen_source,route_name,route_weight
True,84,609,1,6,2030,10.41687,37.50071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.52478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34823,0.0,0.0,1320.812097,1265.812097,0.0,0.0,1265.812097,55.0,0.0,1.563299389,100.0,-15.9,0.0,chemical-olefins,(LN+EL)O,Chemical,(LN+EL),- Electrification,-,(LN+EL)O,1.8
True,85,617,1,6,2030,0.18397,0.66231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.00961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4628,0.0,0.0,0.0,0.0,1061.860235,1022.810235,22.05,0.0,1044.860235,17.0,0.147,1.796544514,84.8,-33.2,0.0,chemical-olefins,(MeOH)O,Chemical,(MeOH),-,-,(MeOH)O,1.8
True,86,625,1,6,2030,0.20643,0.74315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.00961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4628,0.0,0.0,0.0,0.0,1043.654581,1024.404581,2.25,0.0,1026.654581,17.0,0.015,1.667239182,98.4,-23.7,0.132,chemical-olefins,(MeOH)O-MEA,Chemical,(MeOH),CCS,-,(MeOH)O-MEA,11.2
True,87,633,1,6,2030,1.56218,5.62384,0.0,96.07932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.476751,427.476751,0.0,0.0,427.476751,246.0,0.0,0.187461483,100.0,86.1,0.0,chemical-olefins,((BM)MeOH)O,Chemical,((BM)MeOH),-,-,((BM)MeOH)O,1.8
True,88,641,1,6,2030,1.65531,5.95911,0.0,96.07932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.6890257,434.0890257,-221.4,0.0,212.6890257,247.0,-1.476,-1.277362841,252.6,194.7,1.476,chemical-olefins,((BM)MeOH)O-MEA,Chemical,((BM)MeOH),CCS,-,((BM)MeOH)O-MEA,11.2
True,89,649,1,6,2030,1.53095,5.51143,0.0,93.01873,0.0,0.0,0.0,0.0,17.93116,0.0,0.0,0.0,0.0,0.0,0.0,5.37681,0.0,0.0,0.0,0.0,0.14958,0.0,0.0,0.0,0.0,0.0,980.9159042,863.9159042,0.0,0.0,863.9159042,117.0,0.0,0.18371448,100.0,86.4,0.0,chemical-olefins,((BM+H2)MeOH)O,Chemical,((BM+H2)MeOH),-,-,((BM+H2)MeOH)O,1.8
True,90,657,1,6,2030,9.00976,32.4351,0.0,93.01873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.170932,946.1709318,0.0,0.0,946.1709318,163.0,0.0,1.081170865,100.0,19.8,0.0,chemical-olefins,((BM+H2)MeOH)O-AEL,Chemical,((BM+H2)MeOH),-,alkaline electrolyser,((BM+H2)MeOH)O-AEL,14.0
True,91,665,1,6,2030,1.62398,5.84631,0.0,93.01873,0.0,0.0,0.0,0.0,17.93116,0.0,0.0,0.0,0.0,0.0,0.0,5.37681,0.0,0.0,0.0,0.0,0.14958,0.0,0.0,0.0,0.0,0.0,756.7704872,870.5204872,-231.75,0.0,638.7704872,118.0,-1.545,-1.350122844,259.8,200.1,1.545,chemical-olefins,((BM+H2)MeOH)O-MEA,Chemical,((BM+H2)MeOH),CCS,-,((BM+H2)MeOH)O-MEA,11.2
True,92,673,1,6,2030,9.10278,32.76997,0.0,93.01873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.0253176,952.7753176,-231.75,0.0,721.0253176,164.0,-1.545,-0.452666793,259.8,133.6,1.545,chemical-olefins,((BM+H2)MeOH)O-MEA-AEL,Chemical,((BM+H2)MeOH),CCS,alkaline electrolyser,((BM+H2)MeOH)O-MEA-AEL,14.0
True,93,681,1,6,2030,18.98278,68.33796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.317833,1347.777512,87.9,125.6403216,1561.317833,880.0,0.586,2.863933822,39.4,-112.4,0.0,chemical-olefins,((COEL)MeOH)O,Chemical,((COEL)MeOH),-,-,((COEL)MeOH)O,1.8
True,94,689,1,6,2030,19.07252,68.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.638905,1354.148583,8.85,125.6403216,1488.638905,881.0,0.059,2.347701831,93.9,-74.1,0.528,chemical-olefins,((COEL)MeOH)O-MEA,Chemical,((COEL)MeOH),CCS,-,((COEL)MeOH)O-MEA,11.2
True,199,1352,0,1,2018,0.18432,0.66355,0.0,0.0,0.0,17.71185,1.12671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62382,0.03533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.4031363,102.854609,49.6496,341.8989273,494.4031363,33.0,2.002,2.36399401,0.0,0.0,0.0,steel-primary,BF-BOF,Steel,-,-,-,BF-BOF,5.0
True,200,1361,1,1,2030,0.41698,1.50111,0.0,0.0,0.0,17.71185,1.12671,0.0,0.0,0.0,0.0,0.0,0.57891,0.0,0.0,0.0,0.0,0.62382,0.03533,0.0,0.0,0.0,0.0,0.0,0.01182,0.0,637.8390475,113.4401202,118.5,341.8989273,573.8390475,64.0,0.79,1.163657378,60.5,50.8,1.369,steel-primary,BF-BOF-MEA,Steel,-,CCS,-,BF-BOF-MEA,18.5
True,204,1393,1,1,2030,0.67259,2.42132,0.0,0.0,0.0,0.40183,0.0,0.0,0.0,0.0,0.0,0.0,7.45232,0.0,0.0,0.0,0.0,0.01674,0.0,0.0,0.0,0.0,0.0,0.0,0.15221,0.0,405.2392231,101.5986129,9.75,247.8906102,359.2392231,46.0,0.065,0.207361006,96.8,91.2,0.586,steel-primary,(NG)DRI-EAF-MEA,Steel,(NG),CCS Electrification,-,(NG)DRI-EAF-MEA,18.5
True,206,1409,1,1,2030,1.80307,6.49105,0.0,0.0,0.0,0.40183,0.0,0.0,0.0,0.0,0.0,0.0,4.99306,0.0,0.0,0.0,0.0,0.01674,0.0,0.0,0.0,0.0,0.0,0.0,0.10198,0.0,513.7251986,164.7845885,67.05,247.8906102,479.7251986,34.0,0.447,0.707394071,77.7,70.1,0.0,steel-primary,(NG+H2)DRI-EAF-AEL,Steel,(NG+H2),- Electrification,alkaline electrolyser,(NG+H2)DRI-EAF-AEL,22.0
True,208,1425,1,1,2030,5.32745,19.1788,0.0,0.0,0.0,0.40183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.1819683,380.3413582,28.95,247.8906102,657.1819683,40.0,0.193,0.840535784,90.4,64.4,0.0,steel-primary,(H2)DRI-EAF-AEL,Steel,(H2),- Electrification,alkaline electrolyser,(H2)DRI-EAF-AEL,22.0
True,209,1433,1,1,2030,3.98354,14.34072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.6250967,282.8310929,0.0,222.7940038,505.6250967,74.0,0.0,0.478024382,100.0,79.8,0.0,steel-primary,MOE,Steel,-,- Electrification,-,MOE,14.0
