selected,configuration_id,solution_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],product_name,configuration_name,sector_name,energy_feedstock,technology_category,hydrogen_source,route_name,route_weight
True,84,609,1,6,2030,10.41687,37.50071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.52478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34823,0.0,0.0,1320.812097,1265.812097,0.0,0.0,1265.812097,55.0,0.0,1.563299389,100.0,-15.9,0.0,chemical-olefins,(LN+EL)O,Chemical,(LN+EL),- Electrification,-,(LN+EL)O,14.074
True,86,625,1,6,2030,0.20643,0.74315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.00961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4628,0.0,0.0,0.0,0.0,1043.654581,1024.404581,2.25,0.0,1026.654581,17.0,0.015,1.667239182,98.4,-23.7,0.132,chemical-olefins,(MeOH)O-MEA,Chemical,(MeOH),CCS,-,(MeOH)O-MEA,31.111
True,87,633,1,6,2030,1.56218,5.62384,0.0,96.07932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.476751,427.476751,0.0,0.0,427.476751,246.0,0.0,0.187461483,100.0,86.1,0.0,chemical-olefins,((BM)MeOH)O,Chemical,((BM)MeOH),-,-,((BM)MeOH)O,11.852
True,89,649,1,6,2030,1.53095,5.51143,0.0,93.01873,0.0,0.0,0.0,0.0,17.93116,0.0,0.0,0.0,0.0,0.0,0.0,5.37681,0.0,0.0,0.0,0.0,0.14958,0.0,0.0,0.0,0.0,0.0,980.9159042,863.9159042,0.0,0.0,863.9159042,117.0,0.0,0.18371448,100.0,86.4,0.0,chemical-olefins,((BM+H2)MeOH)O,Chemical,((BM+H2)MeOH),-,-,((BM+H2)MeOH)O,11.852
True,94,689,1,6,2030,19.07252,68.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.638905,1354.148583,8.85,125.6403216,1488.638905,881.0,0.059,2.347701831,93.9,-74.1,0.528,chemical-olefins,((COEL)MeOH)O-MEA,Chemical,((COEL)MeOH),CCS,-,((COEL)MeOH)O-MEA,31.111
True,99,706,0,5,2018,0.57689,2.07681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.32914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57862,0.0,434.3218852,264.1202852,43.2016,0.0,307.3218852,127.0,1.742,2.07811468,0.0,0.0,0.0,fertiliser-ammonia,(NG)NH3,Fertilisers,(NG),-,-,(NG)NH3,1.983
True,101,723,1,5,2030,0.57689,2.07681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.32914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57862,0.0,412.9896374,237.6896374,48.3,0.0,285.9896374,127.0,0.322,0.594252721,81.5,71.4,1.42,fertiliser-ammonia,(NG)NH3-DEA,Fertilisers,(NG),CCS,-,(NG)NH3-DEA,5.754
True,102,731,1,5,2030,0.59886,2.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.68896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60639,0.0,509.6926712,248.6926712,6.0,0.0,254.6926712,255.0,0.04,0.324634441,97.7,84.4,1.779,fertiliser-ammonia,(NG)NH3-MEA-DEA,Fertilisers,(NG),CCS,-,(NG)NH3-MEA-DEA,5.754
True,105,755,1,5,2030,0.5939,2.13804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53493,0.0,358.342982,224.042982,30.3,0.0,254.342982,104.0,0.202,0.460964139,88.4,77.8,1.42,fertiliser-ammonia,(NG)NH3-MVR-DEA,Fertilisers,(NG),CCS,-,(NG)NH3-MVR-DEA,5.754
True,106,763,1,5,2030,0.71804,2.58494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53493,0.0,397.8568502,232.8568502,3.0,0.0,235.8568502,162.0,0.02,0.293860817,98.9,85.9,1.602,fertiliser-ammonia,(NG)NH3-MVR-MEA-DEA,Fertilisers,(NG),CCS,-,(NG)NH3-MVR-MEA-DEA,5.754
True,107,771,1,5,2030,1.23943,4.46196,0.0,40.52165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.5103671,221.5103671,0.0,0.0,221.5103671,170.0,0.0,0.148732119,100.0,92.8,0.0,fertiliser-ammonia,(BM)NH3,Fertilisers,(BM),-,-,(BM)NH3,5.0
True,110,795,1,5,2030,10.56462,38.03259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.225587,750.0877917,0.0,0.1377952,750.2255869,704.0,0.0,1.267754014,100.0,39.0,0.0,fertiliser-ammonia,(H2)NH3-AEL,Fertilisers,(H2),-,alkaline electrolyser,(H2)NH3-AEL,70.0
True,115,812,0,5,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.50362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13284,0.0,84.2364715,44.08012638,10.1432,0.01314512,54.2364715,30.0,0.409,0.455609314,0.0,0.0,0.0,fertiliser-nitric-acid,(NG)HNO3,Fertilisers,(NG),-,-,(NG)HNO3,23.706
True,116,821,1,5,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.50362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13284,0.0,75.17720903,45.16406391,0.0,0.01314512,45.17720903,30.0,0.0,0.046609314,100.0,89.8,0.409,fertiliser-nitric-acid,(NG)HNO3-DEA,Fertilisers,(NG),CCS,-,(NG)HNO3-DEA,11.0
True,117,829,1,5,2030,0.0,0.0,0.0,11.66354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.44197512,38.42883,0.0,0.01314512,38.44197512,30.0,0.0,0.0,100.0,100.0,0.0,fertiliser-nitric-acid,(BM)HNO3,Fertilisers,(BM),-,-,(BM)HNO3,15.0
True,118,837,1,5,2030,0.0,0.0,0.0,11.66354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.95802488,38.42883,-110.4,0.01314512,-71.95802488,30.0,-0.736,-0.736,280.0,261.5,0.736,fertiliser-nitric-acid,(BM)HNO3-DEA,Fertilisers,(BM),CCS,-,(BM)HNO3-DEA,11.0
True,120,853,1,5,2030,2.57466,9.26876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.853498,182.8006907,0.0,0.05280736,182.853498,67.0,0.0,0.308958914,100.0,32.2,0.0,fertiliser-nitric-acid,(H2)HNO3-AEL,Fertilisers,(H2),-,alkaline electrolyser,(H2)HNO3-AEL,39.294
True,127,887,1,5,2030,0.24884,0.89581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.86206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30356,0.0,199.1762106,120.8762106,12.3,0.0,133.1762106,66.0,0.082,0.218371872,55.9,36.8,0.103,fertiliser-urea,(NG)Urea-MEA,Fertilisers,(NG),CCS,-,(NG)Urea-MEA,8.873
True,130,911,1,5,2030,0.48229,1.73625,0.0,22.99473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.2506365,110.0059957,0.0,18.2446408,128.2506365,11.0,0.0,0.057875046,100.0,83.2,0.0,fertiliser-urea,(BM)Urea,Fertilisers,(BM),-,-,(BM)Urea,45.563
True,133,935,1,5,2030,6.01371,21.64932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.2958767,426.9730416,0.0,18.32283512,445.2958767,83.0,0.0,0.721644577,100.0,-108.9,0.0,fertiliser-urea,(H2)Urea-AEL,Fertilisers,(H2),-,alkaline electrolyser,(H2)Urea-AEL,45.563
True,145,1009,1,3,2030,1.41297,5.08667,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,267.617373,101.4305164,10.95,105.2368566,217.617373,50.0,0.073,0.242555802,78.4,45.3,0.0,glass-container,(EL),Glass,(EL),- Electrification,-,(EL),20.0
True,146,1017,1,3,2030,1.41652,5.09948,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,258.2200148,101.6831582,0.3,105.2368566,207.2200148,51.0,0.002,0.171982803,99.4,61.2,0.021,glass-container,(EL)-CC,Glass,(EL),CCS Electrification,-,(EL)-CC,80.0
True,157,1083,1,3,2030,2.19079,7.88683,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,352.1961523,156.6559383,34.05,90.490214,281.1961523,71.0,0.227,0.489894544,64.2,40.8,0.0,glass-fibre,(EL),Glass,(EL),- Electrification,-,(EL),20.0
True,158,1091,1,3,2030,2.20193,7.92693,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,320.9870141,157.4468001,1.05,90.490214,248.9870141,72.0,0.007,0.271231211,98.9,67.2,0.066,glass-fibre,(EL)-CC,Glass,(EL),CCS Electrification,-,(EL)-CC,80.0
True,169,1157,1,3,2030,1.50263,5.40948,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,278.2382677,107.797052,27.3,85.14121572,220.2382677,58.0,0.182,0.362316144,62.6,37.5,0.0,glass-float,(EL),Glass,(EL),- Electrification,-,(EL),20.0
True,170,1165,1,3,2030,1.51153,5.44151,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,253.469971,108.4287553,0.9,85.14121572,194.469971,59.0,0.006,0.187383812,98.8,67.7,0.052,glass-float,(EL)-CC,Glass,(EL),CCS Electrification,-,(EL)-CC,80.0
True,204,1393,1,1,2030,0.67259,2.42132,0.0,0.0,0.0,0.40183,0.0,0.0,0.0,0.0,0.0,0.0,7.45232,0.0,0.0,0.0,0.0,0.01674,0.0,0.0,0.0,0.0,0.0,0.0,0.15221,0.0,405.2392231,101.5986129,9.75,247.8906102,359.2392231,46.0,0.065,0.207361006,96.8,91.2,0.586,steel-primary,(NG)DRI-EAF-MEA,Steel,(NG),CCS Electrification,-,(NG)DRI-EAF-MEA,50.0
True,207,1417,1,1,2030,0.57302,2.06286,0.0,0.0,0.0,0.40183,0.0,0.0,11.39921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01674,0.0,0.0,0.09509,0.0,0.0,0.0,0.0,0.0,636.887326,328.0467159,28.95,247.8906102,604.887326,32.0,0.193,0.270003994,90.4,88.6,0.0,steel-primary,(H2)DRI-EAF,Steel,(H2),- Electrification,-,(H2)DRI-EAF,50.0
True,214,1450,0,1,2018,0.41635,1.49885,0.0,0.0,0.0,0.29583,0.0,0.0,0.0,0.0,0.0,0.0,0.18909,0.0,0.0,0.0,0.0,0.01233,0.0,0.0,0.0,0.0,0.0,0.0,0.00386,0.0,549.0235159,54.86630544,0.992,475.1652105,531.0235159,18.0,0.04,0.143477203,0.0,0.0,0.0,steel-secondary,Scraps EAF,Steel,-,- Electrification,-,Scraps EAF,100.0
