"solution_id","configuration_id","scenario_id","aidres_sector_id","horizon","electricity_[mwh/t]","electricity_[gj/t]","alternative_fuel_mixture_[gj/t]","biomass_[gj/t]","biomass_waste_[gj/t]","coal_[gj/t]","coke_[gj/t]","crude_oil_[gj/t]","hydrogen_[gj/t]","methanol_[gj/t]","ammonia_[gj/t]","naphtha_[gj/t]","natural_gas_[gj/t]","plastic_mix_[gj/t]","alternative_fuel_mixture_[t/t]","biomass_[t/t]","biomass_waste_[t/t]","coal_[t/t]","coke_[t/t]","crude_oil_[t/t]","hydrogen_[t/t]","methanol_[t/t]","ammonia_[t/t]","naphtha_[t/t]","natural_gas_[t/t]","plastic_mix_[t/t]","totex_[eur/t]","opex_var_[eur/t]","co2_allowance_[eur/t]","opex_cst_[eur/t]","opex_[eur/t]","capex_[eur/t]","direct_emission_[tco2/t]","total_emission_[tco2/t]","direct_emission_reduction_[%]","total_emission_reduction_[%]","captured_co2_[tco2/t]","product_name","configuration_name","sector_name"
"71","9","7","2","2050","0.27934","1.00562","0","0","0","0","0","0","0","0","0","0","4.26077","0","0","0","0","0","0","0","0","0","0","0","0.08703","0","157.3006955","61.25726289","53.55","36.49343262","151.3006955","6","0.153","0.183535543","69.3","65.8","0.917","cement","CEM1-(NG)Oxy-MEA","Cement"
"72","9","8","2","2050","0.27934","1.00562","0","0","0","0","0","0","0","0","0","0","4.26077","0","0","0","0","0","0","0","0","0","0","0","0.08703","0","175.0539181","79.01048543","53.55","36.49343262","169.0539181","6","0.153","0.183535543","69.3","65.8","0.917","cement","CEM1-(NG)Oxy-MEA","Cement"
"73","10","1","2","2030","0.22496","0.80986","0","0","0","0","0","0","0","0","0","0","2.95806","0","0","0","0","0","0","0","0","0","0","0","0.06042","0","113.4603734","36.51435143","17.7","38.24602198","92.46037341","21","0.118","0.166194802","76.3","69","0.767","cement","CEM1-(NG)Oxy-CaL","Cement"
"74","10","2","2","2030","0.22496","0.80986","0","0","0","0","0","0","0","0","0","0","2.95806","0","0","0","0","0","0","0","0","0","0","0","0.06042","0","134.0024732","57.0564512","17.7","38.24602198","113.0024732","21","0.118","0.166194802","76.3","69","0.767","cement","CEM1-(NG)Oxy-CaL","Cement"
"75","10","3","2","2030","0.22496","0.80986","0","0","0","0","0","0","0","0","0","0","2.95806","0","0","0","0","0","0","0","0","0","0","0","0.06042","0","113.4603734","36.51435143","17.7","38.24602198","92.46037341","21","0.118","0.166194802","76.3","69","0.767","cement","CEM1-(NG)Oxy-CaL","Cement"
"76","10","4","2","2030","0.22496","0.80986","0","0","0","0","0","0","0","0","0","0","2.95806","0","0","0","0","0","0","0","0","0","0","0","0.06042","0","134.0024732","57.0564512","17.7","38.24602198","113.0024732","21","0.118","0.166194802","76.3","69","0.767","cement","CEM1-(NG)Oxy-CaL","Cement"
"77","10","5","2","2050","0.22496","0.80986","0","0","0","0","0","0","0","0","0","0","2.95806","0","0","0","0","0","0","0","0","0","0","0","0.06042","0","145.2772133","44.73119134","41.3","38.24602198","124.2772133","21","0.118","0.139199447","76.3","74","0.767","cement","CEM1-(NG)Oxy-CaL","Cement"
"78","10","6","2","2050","0.22496","0.80986","0","0","0","0","0","0","0","0","0","0","2.95806","0","0","0","0","0","0","0","0","0","0","0","0.06042","0","157.6024732","57.0564512","41.3","38.24602198","136.6024732","21","0.118","0.139199447","76.3","74","0.767","cement","CEM1-(NG)Oxy-CaL","Cement"
"79","10","7","2","2050","0.22496","0.80986","0","0","0","0","0","0","0","0","0","0","2.95806","0","0","0","0","0","0","0","0","0","0","0","0.06042","0","145.2772133","44.73119134","41.3","38.24602198","124.2772133","21","0.118","0.139199447","76.3","74","0.767","cement","CEM1-(NG)Oxy-CaL","Cement"
"80","10","8","2","2050","0.22496","0.80986","0","0","0","0","0","0","0","0","0","0","2.95806","0","0","0","0","0","0","0","0","0","0","0","0.06042","0","157.6024732","57.0564512","41.3","38.24602198","136.6024732","21","0.118","0.139199447","76.3","74","0.767","cement","CEM1-(NG)Oxy-CaL","Cement"
